Element,HHI Contribution,HHI ,Country,Production,Market Share,Total World Production
Al,1320.6811072664361,1789.3955374237719,Australia,55602.0,0.3634117647058824,153000.0
Al,0.14025759323337178,,Bosnia and Herzegovina,573.0,0.0037450980392156863,
Al,128.78541116664528,,Brazil,17363.0,0.11348366013071895,
Al,72.19445512409757,,China,13000.0,0.08496732026143791,
Al,1.794325302234183e-05,,Dominican Republic,6.481,4.2359477124183e-05,
Al,0.1045512070810372,,Ghana,494.716,0.003233437908496732,
Al,2.49763936947328,,Greece,2418.0,0.015803921568627453,
Al,96.11687812379856,,Guinea,15000.0,0.09803921568627451,
Al,1.4557289931223032,,Guyana,1846.0,0.012065359477124183,
Al,0.18948096885813148,,Hungary,666.0,0.004352941176470588,
Al,46.32893160750139,,India,10414.0,0.06806535947712418,
Al,0.681434063821607,,Indonesia,1263.0,0.008254901960784313,
Al,0.05717318577000299,,Iran,365.837,0.002391091503267974,
Al,77.21497573231493,,Jamaica,13444.424,0.0878720522875817,
Al,9.586106373616985,,Kazakhstan,4737.1,0.030961437908496734,
Al,1.3879277201076509e-05,,Malaysia,5.7,3.725490196078431e-05,
Al,0.12459100457131873,,Montenegro,540.051,0.003529745098039216,
Al,5.9410845828527514e-05,,Mozambique,11.793000000000001,7.707843137254903e-05,
Al,7.173994617454825e-06,,Pakistan,4.098,2.6784313725490197e-05,
Al,0.0,,Romania,,0.0,
Al,12.922380281088468,,Russia,5500.0,0.03594771241830065,
Al,0.0,,Serbia & Montenegro,,0.0,
Al,0.0,,Sierra Leone,,0.0,
Al,7.589844935708489,,Suriname,4215.1,0.02754967320261438,
Al,0.0,,Tanzania,,0.0,
Al,0.05669565621598532,,Turkey,364.306,0.0023810849673202615,
Al,0.0,,United States,,0.0,
Al,12.667625488596697,,Venezuela,5445.5160000000005,0.03559160784313726,
Al,0.00017087444999786412,,Vietnam,20.0,0.00013071895424836603,
He,7052.28778120326,7308.995451909283,United States,152.0,0.8397790055248618,181.0
He,256.70767070602244,,Rest of World,29.0,0.16022099447513813,
Li,8.689810549414643,2867.094911960953,Argentina,7550.0,0.02947848461066926,256119.0
Li,2359.538050113897,,Australia,124410.0,0.4857507642931606,
Li,14.506777582168521,,Brazil,9755.0,0.03808776389100379,
Li,77.17585352644468,,Canada,22500.0,0.08784978857484216,
Li,264.6676555042536,,Chile,41667.0,0.16268609513546436,
Li,27.783307269520094,,China,13500.0,0.0527098731449053,
Li,0.0,,Namibia,,0.0,
Li,92.29930787230619,,Portugal,24606.0,0.09607252878544739,
Li,0.0,,Russia,,0.0,
Li,0.0,,United States,,0.0,
Li,22.434149542948237,,Zimbabwe,12131.0,0.047364701564507124,
Be,0.0,6496.588883938518,Brazil,,0.0,2680.0
Be,348.0730674983293,,China,500.0,0.1865671641791045,
Be,0.0,,Kazakhstan,,0.0,
Be,0.0013922922699933173,,Madagascar,1.0,0.00037313432835820896,
Be,8.470706170639339,,Mozambique,78.0,0.029104477611940297,
Be,0.03480730674983292,,Portugal,5.0,0.0018656716417910447,
Be,0.0,,Russia,,0.0,
Be,6140.008910670529,,United States,2100.0,0.7835820895522388,
Be,0.0,,Zambia,,0.0,
B,116.26151175135735,2097.461261858836,Argentina,512.167,0.10782463157894738,4750.0
B,5.31860699168975,,Bolivia,109.545,0.023062105263157894,
B,71.12809467434906,,Chile,400.603,0.08433747368421053,
B,7.490304709141275,,China,130.0,0.02736842105263158,
B,0.0,,Germany,,0.0,
B,0.0050066796675900275,,Iran,3.361,0.0007075789473684211,
B,0.39889196675900274,,Kazakhstan,30.0,0.00631578947368421,
B,0.038457274238227146,,Peru,9.315,0.001961052631578947,
B,443.2132963988919,,Russia,1000.0,0.21052631578947367,
B,867.4575069252078,,Turkey,1399.0,0.2945263157894737,
B,586.1495844875345,,United States,1150.0,0.24210526315789474,
N,0.0003305785123966942,1116.5478884297518,Afghanistan,20.0,0.0001818181818181818,110000.0
N,8.264462809917355e-05,,Albania,10.0,9.09090909090909e-05,
N,0.2761024793388429,,Algeria,578.0,0.0052545454545454544,
N,0.43560000000000004,,Argentina,726.0,0.0066,
N,0.5118752066115703,,Australia,787.0,0.007154545454545454,
N,0.16000000000000003,,Austria,440.0,0.004,
N,0.0804495867768595,,Bahrain,312.0,0.0028363636363636364,
N,1.5944801652892562,,Bangladesh,1389.0,0.012627272727272727,
