Element,Unnamed: 1,HHI-1998,HHI-1999,HHI-2000,HHI-2001,HHI-2002,HHI-2003,HHI-2004,HHI-2005,HHI-2006,HHI-2007,HHI-2008,HHI-2009,HHI-2010,HHI-2011,HHI-2012,HHI-2013,HHI-2014,HHI-2015
Al,,1790.425541,2206.923792,1985.58709,1963.084746,2048.188595,1789.395537,1960.099781,1678.991331,1608.175352,1409.866414,1444.463159,1681.958674,1617.276435,1599.324755,1651.179537,1643.285503,1791.589359,1626.625875
He,,7017.523041,7303.948577,7222.222222,7308.995452,7308.995452,7308.995452,7308.995452,7308.995452,5912.627565,5912.627565,6157.630294,5938.304185,5938.304185,6430.502975,6430.502975,5911.760409,5116.797925,5055.852998
Li,,1942.110368,2047.621679,1904.546476,2172.902023,2026.435759,2867.094912,2608.564678,2984.354868,3518.353796,3017.908537,3198.005395,3196.247908,4071.075698,5008.442424,5408.819418,5258.911969,5575.888478,5008.442424
Be,,7265.217541,6927.553346,8042.110875,7159.289046,6458.219938,6496.588884,6645.999172,6721.180424,7848.310853,7768.301279,8071.89636,7319.227815,7826.544191,8265.392924,7222.857221,8079.874656,8443.997362,7975.76303
B,,2522.323784,2467.13279,2179.149248,2174.067955,2121.321026,2097.461262,2148.975263,2426.404723,3070.963419,3115.344168,2909.67948,2937.869462,5898.795682,6186.725432,5263.213,4750.637245,6140.281123,6149.340224
N,,1004.699,1067.834066,1010.247,1038.955,1081.692874,1116.547888,1176.14484,1240.560554,1321.471,1321.306768,1398.520744,1366.981,1218.6928,1244.788,1337.167,1368.406188,1316.42,1416.042
K,,1894.843033,1735.650525,1806.160439,1715.464044,1718.537942,1702.083,1798.393,1763.115927,1633.2428,1780.800554,1729.741021,1333.670326,1647.892,1686.302,1545.777544,1612.071195,1605.184,1664.694106
P,,1735.650525,1458.010449,1408.948118,1314.908988,1373.629031,1361.010975,1375.410174,1402.647085,1461.188487,1594.673916,1535.616011,1849.348429,1857.942743,2025.088571,2293.95632,2584.73758,2769.680263,2711.887602
S,,1054.573,1002.508,938.6557,843.649,816.1846,809.7233,813.0162,778.5899,777.6419636,775.9234882,740.5053036,754.2545701,753.750113,752.57,751.5081035,722.9535927,730.5495766,726.231179
Ca,,903.8351479,911.0949646,825.1108316,814.2017503,3086.847049,3171.601334,3240.248205,3213.541274,3276.207987,3281.240176,3566.919698,4126.070322,3855.638229,3768.327943,4276.220285,4404.419964,4404.923273,4399.392573
Ti,,2113.324836,1882.841,1711.233,1550.943474,1463.140374,1386.812572,1397.425,1420.283,1468.59,1427.049,1317.672,1255.779,1071.527,1109.506,1119.084671,984.7918001,957.914002,
V,,3542.651383,3563.16173,3255.633418,3079.855892,3405.383899,4129.762,3412.258,3235.735,3284.389,3284.844,3378.5667,3637.4459,3486.592469,3832.944,3955.419,4024.695,3987.279,3716.669
Cr,,2627.746766,2785.557106,2592.350957,2594.823429,2613.530965,2887.350001,2499.681101,2255.264889,2133.280576,2420.934052,2259.106373,2313.555813,2528.072852,2334.398199,2473.951045,2638.826749,2709.990456,2516.172448
Mn,,1283.026349,1259.723831,1275.418701,1219.069714,1211.688242,1182.952758,1226.917613,1220.029596,1328.281347,1478.351417,1354.172302,1361.665449,1306.690739,1434.622217,1456.250831,1461.627532,1638.498767,
