Element,Notes,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Al,,Australia,0.36221951219512194,0.4170697674418605,0.3956029411764706,0.3926934306569343,0.39514598540145984,0.3634117647058824,0.3698888888888889,0.3368483146067416,0.3201036269430052,0.28234389140271493,0.2821057268722467,0.31211004784688995,0.28988983050847456,0.275496062992126,0.2968171206225681,0.2740168918918919,0.3036023166023166,0.2706020066889632
Al,,Bosnia and Herzegovina,0.0006097560975609756,0.0005813953488372093,0.0005514705882352941,0.0005474452554744526,0.0008248175182481752,0.0037450980392156863,0.005992993464052287,0.005795606741573033,0.004425113989637306,0.003922773755656109,0.00448604845814978,0.0026594258373205744,0.003576271186440678,0.002700787401574803,0.003114070038910506,0.002219983108108108,0.002336737451737452,0.002632107023411371
Al,,Brazil,0.0972439024390244,0.10748837209302325,0.10195588235294117,0.09512408759124087,0.09678978102189782,0.11348366013071895,0.1369281045751634,0.12378651685393259,0.12039533678756477,0.11520678733031675,0.12377753303964757,0.12475598086124402,0.13571186440677965,0.1323803149606299,0.13614007782101167,0.1145135135135135,0.1401853281853282,0.12393645484949833
Al,,China,0.06666666666666667,0.06976744186046512,0.0661764705882353,0.07153284671532846,0.08759124087591241,0.08496732026143791,0.1111111111111111,0.12359550561797752,0.13989637305699482,0.13574660633484162,0.15418502202643172,0.19138755980861244,0.1864406779661017,0.17716535433070865,0.1828793774319066,0.17027027027027028,0.22857142857142856,0.21739130434782608
Al,,Dominican Republic,,,,,,4.2359477124183e-05,0.0005195947712418301,0.00300311797752809,0.0025906735751295338,0.0022624434389140274,0.001762114537444934,,3.8135593220339e-05,,4.0941634241245135e-05,0.0025997635135135136,0.005583011583011583,0.005765886287625418
Al,,Fiji,,,,,,,,,,,,,,0.0001968503937007874,0.0011673151750972762,0.001554054054054054,0.0014517374517374517,0.0008361204013377926
Al,,Ghana,0.002772357723577236,0.0039069767441860465,0.0037058823529411765,0.0049521824817518245,0.004990175182481751,0.003233437908496732,0.003255294117647059,0.003410112359550562,0.004362694300518135,0.0033856651583710406,0.0035066079295154183,0.0023444976076555024,0.0025211864406779663,0.0009291338582677165,0.002762645914396887,0.0027601351351351352,0.003498069498069498,0.003431438127090301
Al,,Greece,0.014821138211382114,0.015434108527131783,0.014639705882352942,0.014978102189781023,0.01818978102189781,0.015803921568627453,0.015973856209150327,0.01401685393258427,0.011207253886010363,0.009619457013574662,0.009587224669603525,0.009258373205741627,0.008059322033898305,0.009149606299212599,0.007066147859922179,0.00622972972972973,0.007231660231660232,0.006127090301003345
Al,,Guinea,0.12658536585365854,0.12170542635658915,0.11544117647058824,0.11021897810218978,0.11167883211678832,0.09803921568627451,0.09969934640522876,0.09447752808988764,0.09732642487046632,0.08379638009049774,0.07048458149779736,0.06507177033492823,0.06737288135593221,0.06179527559055118,0.062416342412451364,0.05705067567567568,0.06663320463320463,0.054525083612040136
Al,,Guyana,0.01843089430894309,0.01915503875968992,0.018169117647058825,0.014233576642335766,0.012335766423357665,0.012065359477124183,0.00984313725490196,0.009516853932584269,0.00766321243523316,0.010131221719457014,0.009290748898678414,0.007105263157894737,0.004588983050847458,0.007159051181102362,0.008599929961089494,0.005571986486486487,0.0061853281853281854,0.005016722408026756
Al,,Hungary,0.009252032520325203,0.008116279069767442,0.007698529411764706,0.0072992700729927005,0.005255474452554744,0.004352941176470588,0.00422875816993464,0.00300561797752809,0.002789119170984456,0.002472398190045249,0.002251101321585903,0.001277511961722488,0.0013008474576271186,0.000610236220472441,0.0005603112840466926,0.0003175675675675676,5.4054054054054054e-05,2.6755852842809364e-05
Al,,India,0.04960975609756098,0.05862015503875969,0.05560294117647059,0.0574014598540146,0.07041605839416058,0.06806535947712418,0.07375816993464052,0.06957865168539326,0.0722279792746114,0.09204977375565611,0.09343612334801762,0.07655502392344497,0.05984745762711864,0.051181102362204724,0.059533073929961086,0.06898648648648649,0.08718146718146719,0.09051505016722408
Al,,Indonesia,0.008585365853658537,0.008922480620155038,0.008463235294117646,0.00902919708029197,0.009364963503649635,0.008254901960784313,0.008699346405228759,0.008101123595505619,0.007782383419689119,0.08461538461538462,0.07488986784140969,0.07033492822966507,0.11610169491525424,0.16001535433070865,0.12234747081712062,0.19264864864864864,0.009864301158301158,0.0006755852842809365
Al,,Iran  ,0.0027317073170731706,0.0031007751937984496,0.0029411764705882353,0.002,0.0004179124087591241,0.002391091503267974,0.0027448039215686275,0.0024583988764044946,0.0025906735751295338,0.0022624434389140274,0.003151273127753304,0.0024976937799043065,0.002885593220338983,0.0033346456692913387,0.003470817120622568,0.0026642905405405404,0.0035945945945945945,0.0030100334448160534
Al,,Jamaica,0.1028130081300813,0.08625581395348837,0.08181617647058824,0.09029497810218978,0.09576277372262773,0.0878720522875817,0.0869051045751634,0.07930337078651685,0.07702072538860104,0.06591855203619909,0.06447577092511013,0.037404129186602866,0.0361864406779661,0.040113842519685035,0.03633965369649805,0.031875722972972975,0.03736176447876448,0.03220401337792642
Al,,Kazakhstan  ,0.02794308943089431,0.028914728682170543,0.027426470588235295,0.0268985401459854,0.031945985401459855,0.030961437908496734,0.03075424836601307,0.027052808988764047,0.025304663212435234,0.022457013574660633,0.02273171806167401,0.024545454545454544,0.0225,0.021633858267716535,0.02011673151750973,0.01754054054054054,0.017436293436293437,0.01566220735785953
Al,,Malaysia,0.0013008130081300813,0.0009534883720930232,0.0009044117647058823,0.0004683284671532847,0.0002917883211678832,3.725490196078431e-05,1.3333333333333333e-05,2.660112359550562e-05,0.0004756787564766839,0.0007094343891402714,0.0013003348017621144,0.00126044019138756,0.0005254237288135593,0.0007204724409448818,0.00047421400778210117,0.0007053040540540541,0.01415057915057915,0.11705685618729098
Al,,Mexico,,,,,,,,,,,,,,5.511811023622047e-05,0.0003735408560311284,,,
Al,(Began independent records in 2003),Montenegro,,,,,,0.003529745098039216,0.0039869281045751635,0.0037772191011235957,0.0034164248704663214,0.0030183393665158373,0.0029595198237885464,0.00021903827751196175,0.00025847457627118644,0.0006259842519685039,,0.00020608108108108108,0.0005984555984555985,0.00016722408026755852
Al,,Mozambique,4.878048780487805e-05,6.201550387596899e-05,5.882352941176471e-05,6.271532846715328e-05,6.656204379562044e-05,7.707843137254903e-05,4.3941176470588236e-05,5.347191011235956e-05,5.735233160621762e-05,3.9117647058823526e-05,2.3977973568281935e-05,1.7282296650717705e-05,3.813559322033898e-05,4.0755905511811026e-05,3.249805447470817e-05,2.2841216216216216e-05,1.24903474903475e-05,1.6722408026755853e-05
